chr01	3673550	3938442
chr01	5865284	5865351
chr02	1760436	1760510
chr02	1766133	1766208
chr02	1905288	1905372
chr02	1915475	1915557
chr02	2085389	2085452
chr02	2091902	2091976
chr02	2143496	2143606
chr02	5630794	5630863
chr02	5646423	5646493
chr02	5695432	5695498
chr02	5817158	5817265
chr02	5886066	5886134
chr02	6029824	6029894
chr02	6034314	6034382
chr02	6104688	6104762
chr02	6251814	6251882
chr02	6341972	6342065
chr02	6360820	6360895
chr02	6389148	6389225
chr02	6392614	6392698
chr02	6433995	6434068
chr02	6462565	6462634
chr02	6551921	6551992
chr02	6641179	6641243
chr02	6769614	6769689
chr02	6789840	6789904
chr02	6859868	6859946
chr02	6863948	6864022
chr02	6964650	6964752
chr02	7040702	7040785
chr02	7104122	7104193
chr03	70392	70464
chr03	917061	917131
chr03	969657	969726
chr03	1398820	1398891
chr03	3007165	3007238
chr04	1805485	1805557
chr04	2541534	2541603
chr04	2617940	2618014
chr04	2650602	2650675
chr04	2766259	2766327
chr04	3963352	3963423
chr04	4581893	4581967
chr05	2567917	2567984
chr05	2688901	2688974
chr05	2759034	2759098
chr05	2832780	2832851
chr05	2865442	2865517
chr05	2868738	2868802
chr05	2923241	2923313
chr05	3127621	3127695
chr05	3205127	3205198
chr05	3504221	3504289
chr06	2070730	2070817
chr06	2200473	2200537
chr06	2255664	2255727
chr06	2277869	2277937
chr06	2284840	2284912
chr06	2299090	2299159
chr06	2311797	2311871
chr06	2379189	2379266
chr06	2386854	2386930
chr06	2455947	2456018
chr06	3363988	3364053
chr06	3414480	3414544
chr06	3839180	3839254
chr07	784175	784252
chr07	1385176	1385249
chr07	1454642	1454714
chr07	1498201	1498268
chr07	1579791	1579857
chr07	1592135	1592208
chr07	1686718	1686791
chr07	1845495	1845572
chr07	2019900	2019973
chr07	2066559	2066625
chr07	2070935	2071008
chr07	2084563	2084634
chr07	2126029	2126128
chr07	2164669	2164739
chr07	3245366	3245436
